Stock_type,Title,Mileage,Price,Price_drop,car_battery,Dealer_Name,Location
,Used 2016 Tesla Model S 85,"88,871 mi.","$22,800",$700 price drop,EV Battery Rating | Excellent,Sunrise Ford of Fontana,"Fontana, CA"
,Used 2016 Tesla Model S P100D,"49,685 mi.","$38,450",,EV Battery Rating | Excellent,NextGear Motors,"Raleigh, NC"
,Used 2015 Tesla Model S P85D,"146,663 mi.","$23,995",,EV Battery Rating | Excellent,Brown & Brown Wholesale,"Mesa, AZ"
,Used 2017 Tesla Model X 100D,"79,892 mi.","$32,888","$2,607 price drop",EV Battery Rating | Excellent,Star Motor Sales,"Downers Grove, IL"
,Used 2022 Tesla Model 3 Performance,"26,400 mi.","$42,900",,,,"Horseheads, NY"
,Used 2023 Tesla Model 3 Base,"8,478 mi.","$31,500",,,,"Albuquerque, NM"
,Used 2016 Tesla Model X 90D,"65,152 mi.","$74,480",,EV Battery Rating | Excellent,Yalcars,"Austintown, OH"
,Used 2020 Tesla Model 3 Long Range,"33,000 mi.","$36,000",,,,"Livermore, CA"
,Used 2022 Tesla Model 3 Performance,"32,747 mi.","$34,999",,,,"Montrose, CO"
,Used 2020 Tesla Model S Long Range Plus,"87,000 mi.","$36,900",,,,"Somerset, NJ"
,Used 2020 Tesla Model 3 Standard Range Plus,"99,000 mi.","$19,300",,,,"Louisville, KY"
,Used 2015 Tesla Model S P90D,"39,500 mi.","$29,500",,,,"Hillsborough, NJ"
,Used 2020 Tesla Model 3 Standard Range Plus,"47,927 mi.","$22,500",,,,"Seattle, WA"
,Used 2018 Tesla Model X 75D,"67,000 mi.","$41,500",,,,"Saint Johns, FL"
,Used 2020 Tesla Model X Performance,"22,999 mi.","$59,900",,,,"Jacksonville Beach, FL"
,Used 2019 Tesla Model 3 Long Range,"38,000 mi.","$27,000",,,,"Miami, FL"
,Used 2018 Tesla Model X 100D,"60,000 mi.","$46,000",,,,"Savannah, GA"
,Used 2017 Tesla Model S 75D,"43,410 mi.","$27,680",,EV Battery Rating | Excellent,Definitive Motors,"Bellevue, WA"
,Used 2021 Tesla Model 3 Standard Range Plus,"56,276 mi.","$22,850","$1,828 price drop",EV Battery Rating | Excellent,LA City Cars,"Inglewood, CA"
,Used 2019 Tesla Model 3 Standard Range Plus,"103,575 mi.","$22,777",$214 price drop,EV Battery Rating | Excellent,Denali Motors,"Addison, IL"
,Used 2020 Tesla Model 3 Standard Range Plus,"36,679 mi.","$30,000",,,,"Chicago, IL"
,Used 2015 Tesla Model S P85D,"186,000 mi.","$18,000",,,,"Salinas, CA"
,Used 2018 Tesla Model X 75D,"77,985 mi.","$31,998",,EV Battery Rating | Excellent,Yc Auto group,"Pittsburg, CA"
,Used 2022 Tesla Model 3 Long Range,"46,047 mi.","$29,500",,,,"Cypress, TX"
,Used 2013 Tesla Model S Performance,"34,586 mi.","$23,988",,EV Battery Rating | Excellent,Auto Web Expo,"Plano, TX"
,Used 2019 Tesla Model 3 Performance,"19,343 mi.","$30,995",,EV Battery Rating | Excellent,AutoNation Hyundai Carlsbad,"Carlsbad, CA"
,Used 2022 Tesla Model S Plaid,"7,800 mi.","$82,900",,,,"Bonita Springs, FL"
,Used 2016 Tesla Model X 90D,"126,775 mi.","$28,995",,EV Battery Rating | Excellent,AutoNation Nissan Chandler,"Chandler, AZ"
,Used 2022 Tesla Model 3 Standard Range,"68,913 mi.","$24,988",,EV Battery Rating | Excellent,Auto Web Expo,"Plano, TX"
,Used 2019 Tesla Model 3 Standard Range Plus,"80,063 mi.","$19,977",,EV Battery Rating | Excellent,VL Auto 777,"Midway City, CA"
,Used 2017 Tesla Model S 90D,"27,500 mi.","$37,500",,,,"North Grafton, MA"
,Used 2019 Tesla Model 3 Performance,"50,500 mi.","$32,500",,,,"Elkridge, MD"
,Used 2019 Tesla Model 3 Long Range,"51,046 mi.","$28,999",,EV Battery Rating | Excellent,VIP Auto Outlet - Southampton,"Southampton Township, NJ"
,Used 2016 Tesla Model X 90D,"117,136 mi.","$26,995",,EV Battery Rating | Excellent,Auto Union Inc. of Lebanon,"Lebanon, TN"
,Used 2016 Tesla Model X 90D,"89,048 mi.","$30,995","$1,000 price drop",EV Battery Rating | Excellent,Auto Union Inc. of Lebanon,"Lebanon, TN"
,Used 2013 Tesla Model S Base,"59,918 mi.","$12,500",,,Alpha Motorsports Fredericksburg,"Fredericksburg, VA"
,Used 2016 Tesla Model S 75D,"84,250 mi.","$22,000",,,,"Culver City, CA"
,Used 2020 Tesla Model 3 Standard Range,"78,150 mi.","$20,998",,EV Battery Rating | Excellent,Price Pro,"Maumee, OH"
,Used 2022 Tesla Model 3 Base,"10,323 mi.","$29,500",,,,"Cary, NC"
,Used 2019 Tesla Model S P100D,"58,500 mi.","$42,500",,,,"Edmond, OK"
